iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
10,64,4,80,1.250000,64,63,63,889,9940,6.435838,54,551,3530,165904,32.913820
10,64,4,96,1.500000,64,63,63,937,9940,6.755769,54,551,3578,165904,33.228274
10,64,4,112,1.750000,64,63,63,985,9940,7.096011,54,551,3626,165904,33.585050
10,64,4,128,2.000000,64,63,63,1033,9940,7.331038,54,551,3674,165904,33.792952
11,64,4,0,0.000000,0,0,6,37,2492,0.366142,1,6,37,2492,0.366142
11,64,4,8,0.125000,8,10,10,461,3388,2.822176,5,37,621,13876,4.431831
11,64,4,16,0.250000,16,18,18,517,4476,3.257220,12,103,1000,34840,8.078702
11,64,4,24,0.375000,24,27,27,577,5588,3.832400,17,164,1333,51532,11.404227
11,64,4,32,0.500000,32,34,35,633,6452,4.295836,23,256,1803,73684,16.027906
11,64,4,48,0.750000,48,47,48,733,8044,5.148215,38,376,2526,115560,23.113333
11,64,4,64,1.000000,64,63,63,841,9940,6.073836,59,836,4687,208964,44.702599
11,64,4,80,1.250000,64,63,63,889,9940,6.410167,59,561,3635,175964,33.881478
11,64,4,96,1.500000,64,63,63,937,9940,6.714568,59,561,3683,175964,34.153898
11,64,4,112,1.750000,64,63,63,985,9940,7.158713,59,561,3731,175964,34.637586
11,64,4,128,2.000000,64,63,63,1033,9940,7.440642,59,561,3779,175964,34.955043
12,64,4,0,0.000000,0,0,6,37,2492,0.367753,1,6,37,2492,0.367753
12,64,4,8,0.125000,8,8,9,457,3204,2.795554,5,36,617,13660,4.404848
12,64,4,16,0.250000,16,19,20,525,4588,3.370094,14,117,1082,39840,8.918380
12,64,4,24,0.375000,24,28,28,581,5580,3.861581,19,176,1407,56388,12.111829
12,64,4,32,0.500000,32,34,34,629,6428,4.266685,23,273,1871,75628,16.707005
12,64,4,48,0.750000,48,49,49,737,8260,5.200227,34,331,2294,103040,20.800573
12,64,4,64,1.000000,64,63,63,841,9940,6.126418,54,588,3630,170344,34.094003
12,64,4,80,1.250000,64,63,63,889,9940,6.438128,44,459,3032,137144,27.961217
12,64,4,96,1.500000,64,63,63,937,9940,6.770150,44,459,3080,137144,28.229550
12,64,4,112,1.750000,64,63,63,985,9940,7.053759,44,459,3128,137144,28.537570
12,64,4,128,2.000000,64,63,63,1033,9940,7.424592,44,459,3176,137144,28.885623
13,64,4,0,0.000000,0,0,6,37,2492,0.362292,1,6,37,2492,0.362292
13,64,4,8,0.125000,8,6,10,461,3260,2.814465,5,37,621,13780,4.406748
13,64,4,16,0.250000,16,18,19,521,4436,3.325173,9,91,913,28020,7.273525
13,64,4,24,0.375000,24,30,31,593,5972,3.985885,19,193,1475,58620,12.817052
13,64,4,32,0.500000,32,36,37,641,6756,4.416150,26,235,1758,76384,15.587404
13,64,4,48,0.750000,48,47,47,729,8020,5.141804,43,403,2699,127596,24.804654
13,64,4,64,1.000000,64,63,63,841,9940,6.028565,58,508,3362,167832,31.184523
13,64,4,80,1.250000,64,63,63,889,9940,6.387516,51,534,3423,158548,31.734862
13,64,4,96,1.500000,64,63,63,937,9940,6.718418,51,534,3471,158548,32.094670
13,64,4,112,1.750000,64,63,63,985,9940,7.078350,51,534,3519,158548,32.464175
13,64,4,128,2.000000,64,63,63,1033,9940,7.283547,51,534,3567,158548,32.725034
14,64,4,0,0.000000,0,0,6,37,2492,0.362262,1,6,37,2492,0.362262
14,64,4,8,0.125000,8,9,10,461,3452,2.797775,5,41,637,14420,4.553394
14,64,4,16,0.250000,16,17,18,517,4412,3.257501,15,114,1083,41380,8.884363
14,64,4,24,0.375000,24,27,27,577,5588,3.815869,17,154,1293,50396,10.979062
14,64,4,32,0.500000,32,37,37,641,6820,4.391109,29,297,2045,89300,18.404782
14,64,4,48,0.750000,48,48,48,733,8076,5.190266,33,317,2225,99588,20.156454
14,64,4,64,1.000000,64,63,63,841,9940,6.093207,54,534,3414,163864,31.835945
14,64,4,80,1.250000,64,63,63,889,9940,6.398337,47,552,3443,153620,32.064334
14,64,4,96,1.500000,64,63,63,937,9940,6.687767,47,552,3491,153620,32.322159
14,64,4,112,1.750000,64,63,63,985,9940,7.041499,47,552,3539,153620,32.705918
14,64,4,128,2.000000,64,63,63,1033,9940,7.430302,47,552,3587,153620,33.105847
