iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
5,16,4,16,1.000000,16,15,15,215,3516,1.221322,12,67,544,24664,4.341718
5,16,4,24,1.500000,16,15,15,239,3516,1.337735,9,73,559,21484,4.407449
5,16,4,32,2.000000,16,15,15,263,3516,1.456149,9,73,583,21484,4.527474
6,16,4,0,0.000000,0,0,4,27,1780,0.254659,1,4,27,1780,0.254659
6,16,4,8,0.500000,8,8,8,163,2644,0.824618,6,38,338,12904,2.491824
6,16,4,16,1.000000,16,15,15,215,3516,1.221992,15,88,661,31084,5.452867
6,16,4,24,1.500000,16,15,15,239,3516,1.333165,14,80,642,28824,5.150415
6,16,4,32,2.000000,16,15,15,263,3516,1.462220,14,80,666,28824,5.285032
7,16,4,0,0.000000,0,0,4,27,1780,0.254688,1,4,27,1780,0.254688
7,16,4,8,0.500000,8,8,10,171,2724,0.908211,5,35,315,11244,2.281907
7,16,4,16,1.000000,16,15,15,215,3516,1.217691,10,61,498,21344,3.908282
7,16,4,24,1.500000,16,15,15,239,3516,1.340156,11,62,537,22764,4.181543
7,16,4,32,2.000000,16,15,15,263,3516,1.452960,11,62,561,22764,4.282265
8,16,4,0,0.000000,0,0,4,27,1780,0.254059,1,4,27,1780,0.254059
8,16,4,8,0.500000,8,8,9,167,2700,0.856418,7,35,337,13812,2.461182
8,16,4,16,1.000000,16,15,15,215,3516,1.220972,12,89,632,27304,5.208958
8,16,4,24,1.500000,16,15,15,239,3516,1.332425,9,59,503,19804,3.849179
8,16,4,32,2.000000,16,15,15,263,3516,1.452780,9,59,527,19804,3.968625
9,16,4,0,0.000000,0,0,4,27,1780,0.251368,1,4,27,1780,0.251368
9,16,4,8,0.500000,8,9,9,167,2764,0.864870,7,35,337,13876,2.471504
9,16,4,16,1.000000,16,15,15,215,3516,1.217942,12,66,540,24544,4.309269
9,16,4,24,1.500000,16,15,15,239,3516,1.340855,11,83,621,25284,5.008497
9,16,4,32,2.000000,16,15,15,263,3516,1.455319,11,83,645,25284,5.122255
10,16,4,0,0.000000,0,0,4,27,1780,0.251418,1,4,27,1780,0.251418
10,16,4,8,0.500000,8,8,8,163,2612,0.824638,6,37,334,12752,2.454123
10,16,4,16,1.000000,16,15,15,215,3516,1.217691,14,101,702,31344,5.884272
10,16,4,24,1.500000,16,15,15,239,3516,1.336965,15,89,689,31204,5.604491
10,16,4,32,2.000000,16,15,15,263,3516,1.453759,15,89,713,31204,5.763005
11,16,4,0,0.000000,0,0,4,27,1780,0.255059,1,4,27,1780,0.255059
11,16,4,8,0.500000,8,8,8,163,2580,0.823428,5,24,271,9924,1.841613
11,16,4,16,1.000000,16,15,15,215,3516,1.218841,9,53,455,19084,3.507659
11,16,4,24,1.500000,16,15,15,239,3516,1.339136,11,72,577,23964,4.557746
11,16,4,32,2.000000,16,15,15,263,3516,1.451499,11,72,601,23964,4.686139
12,16,4,0,0.000000,0,0,4,27,1780,0.251019,1,4,27,1780,0.251019
12,16,4,8,0.500000,8,7,8,163,2484,0.820018,5,30,295,10484,2.084481
12,16,4,16,1.000000,16,15,15,215,3516,1.216842,11,73,557,24084,4.471243
12,16,4,24,1.500000,16,15,15,239,3516,1.338915,13,93,683,29084,5.584139
12,16,4,32,2.000000,16,15,15,263,3516,1.450929,13,93,707,29084,5.700843
13,16,4,0,0.000000,0,0,4,27,1780,0.255768,1,4,27,1780,0.255768
13,16,4,8,0.500000,8,9,9,167,2700,0.863720,5,26,279,10132,1.921775
13,16,4,16,1.000000,16,15,15,215,3516,1.219841,10,71,538,22544,4.316136
13,16,4,24,1.500000,16,15,15,239,3516,1.335836,9,63,519,20284,4.006997
13,16,4,32,2.000000,16,15,15,263,3516,1.455980,9,63,543,20284,4.142781
14,16,4,0,0.000000,0,0,4,27,1780,0.251218,1,4,27,1780,0.251218
14,16,4,8,0.500000,8,7,9,167,2636,0.861599,5,27,283,10252,1.956735
14,16,4,16,1.000000,16,15,15,215,3516,1.219281,12,84,612,26704,5.020069
14,16,4,24,1.500000,16,15,15,239,3516,1.338286,12,70,580,25024,4.572626
